src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
- All it does is go bleep. 	 -Tout ce qu'il 	 A long way away. And did it help? Hey, lovebirds. Let me ask you a question. What the hell is this thing? 	 Très loin Et ça t'a aidé? Hé, les tourtereaux. Laissez moi vous poser une question. Qu'est ce que c'est que ce putain de  truc ? 	 None 	 truc 
So, when the situation comes and you, like, think it' gonna be cool, you lean in 60% of the way, right? 	 Si l'occasion se présente et tu penses que t'as tes chances, tu te penches vers elle 	 That' obviously a big factor, cos if she was sober it' much different than if she was fucked up. No, but, like, how do I go about just... Delivering the cock to her? Yeah, delivering the cock to her. I think there' a missing link somewhere in there. 	 Ça change tout parce que si elle était sobre, c'est pas comme si elle était bourrée. Ouais, mais comment je fais pour... Essayer d'avoir des rapports avec  elle ? Ouais, avoir des rapports. Je crois qu'on a brûlé une étape. 	 None 	 elle 
The burning means it's working. 	 Le brulant signifie qu'il 	 My new raw vitalizer virtually eliminates wrinkles. - Really? Look, I am fine. - Jan you and I both know nobody says no to me. Try some. 	 Mon nouveau  vitalizer  brut elimine pratiquement les rides. -Vraiment? Ecoute, je vais bien. -Jan toi et moi savons toutes les 2 que personne ne me dit non. Essaye un peu. 	 None 	 vitalizer 
In fact, it's kind of the stuff that wins awards. 	 En fait, elle 	 You can't tell me they don't. Dropping out of the chief's trial was a real bonehead move, Avery. - Such a bonehead move, that I started thinking, maybe the chief's trial is flawed. So I looked into it myself. The methodology is flawless. 	 Tu ne me diras pas le contraire. Abandonner les essais du chef, c'était vraiment idiot, Avery. - Monsieur... - Tellement idiot, que je me suis dit que les essais du chef étaient peut-être mal engagés. J'ai donc jeté un coup d'œil. La  méthodologie  est parfaite. 	 None 	 méthodologie 
Yet somehow it still lives. 	 Et pourtant, elle 	 - I made that choice long ago. - We have another class, but I will see you tonight. - You have to tell him. - It is disturbing, to say the least. The creature is frozen, has been frozen for millennia, 	 - J'ai déjà fait ce choix il y à longtemps. - Nous avons un autre cours, mais on se voit ce soir. - Tu dois lui dire. - Cela est pour le moins troublant. La  créature  est gelée, a été congelée pendant des millénaires, 	 None 	 créature 
How did it break? 	 - Comment s'est-elle 	 But here you are, so I have to assume there are some issues. We don't have issues. Well, no big ones. She won't wear her engagement ring. It was broken, and I had it fixed and polished. 	 Pourtant vous êtes là, il doit bien y avoir un problème. - On a pas de problèmes. - Pas des gros problèmes. Elle porte pas sa  bague  de fiançailles. Elle était cassée, je l'ai faite réparer. 	 None 	 bague 
Will they be hard some day? 	 Seront-elles 	 She can sleep well at night. Show me your hands, Paolo. Bring them here. I would touch them. Soft. 	 Elle peut dormir tranquille la nuit. Montre-moi tes  mains . Donne-les-moi. Je veux les toucher. Douces. 	 None 	 mains 
Nutter on the loose, they're sending a clear message... they will not be intimidated. 	 Un fou est en liberté, elles 	 ! What is this, fucking Prohibition? Is Eliot Ness back in town? You know, the Untouchables... Sorry, no offence, mate. Girls are reclaiming the night. 	 C'est quoi ça, une putain de prohibition ? Est-ce que Eliot Ness est de retour ? Tu sais, les Incorruptibles... Désolé, ne le prends pas mal. Les  filles  font une manifestation nocturne. 	 None 	 filles 
This cocksucker killed him before he told me what it was! 	 Ce connard l'a tué avant qu'il 	 You asshole! Juan, these friends of yours give me the creeps! - So, what did he say? - He had a plan. Fuck! Don't look at me like that! 	 C'est quoi ton problème, putain ! Pas fait exprès. Juan, tes amis me donnent la chair de poule ! - Alors, qu'est-ce qu' il  a dit ? - Qu'il avait un plan. Ne me regardez pas comme ça, putain ! 	 None 	 il 
If it can relieve a symptom, it can also generate one. 	 S'il 	 It's important you don't pass out. You hear me? I want to go home! Let us out of here! Here you have the power of the psyche. 	 Tu dois rester conscient. Tu m'entends ? Je veux rentrer chez moi... Laissez-nous partir d'ici ! Ainsi est le pouvoir de l' esprit ... 	 None 	 esprit 
- Luis del Aguila's body. Was it clean or dirty? 	 <hon>Luis del Aguil 	 To be exact. That wasn't in the report, Captain. Excuse me. Captain! Was the body clean or dirty? - What? 	 À cheval, je dirais. Ça n'était pas dans le rapport. Excusez-moi. Capitaine ? Le  corps  était propre ou sale ? 	 None 	 corps 
And it sure has certain risk. 	 Et il 	 Chen Tien-lai has traveled all around the world, He has visited every schools of Choileefut in the world. If we want to control this strength, These two men form the origin. This project spends much resources of the group, 	 Chen Tien-lai a voyagé partout dans le monde, Il a visité toutes les écoles de Choyleefut dans le monde. Si nous voulons contrôler cette force, Ces deux hommes forment l'origine. Ce  projet  épuise beaucoup les ressources du groupe, 	 None 	 projet 
Of course it is. 	 Bien sûr il 	 He has visited every schools of Choileefut in the world. If we want to control this strength, These two men form the origin. This project spends much resources of the group, And it sure has certain risk. 	 Il a visité toutes les écoles de Choyleefut dans le monde. Si nous voulons contrôler cette force, Ces deux hommes forment l'origine. Ce  projet  épuise beaucoup les ressources du groupe, Et il a surement des risques certains. 	 None 	 projet 
And also it is easily digested, therefore it's excellent for indigestion and stomach disorder. 	 Elle se digère facilement également, donc elle 	 You said that the concoction smelled bad... So I cut this yam into 8-10 centimeters and mixed it with some fresh fruits, yogurt and milk. Please, drink it when it's cool. Yam is very good for your health. It helps a lot to refresh your body. 	 Vous alliez dire que ça sent mauvais... Alors j'ai coupé l'igname à 8-10 centimètres, et je l'ai mixé avec des fruits frais, du lait et du yogourt. S'il vous plait, buvez le pendant que c'est frais. L' igname  est vraiment bon pour la santé. Elle aide beaucoup à régénérer le corps. 	 None 	 igname 
But it is in the room. 	 Mais il 	 Most of all, it is very worthy... What's that? That is a bicycle. Don't you know a bicycle? I know it. 	 Plus que tout, c'est très gratifiant... C'est quoi ça ? Un vélo. Tu ne connais pas le  vélo  ? Si je connais. 	 None 	 vélo 
It's hard to figure out the exact location but it's within a 20-meter radius. 	 Il est difficil 	 Dad... Ms. Monica... Monica, are you alright? What is the exact location? The signal is getting weak. 	 Père... Monica... Monica, est-ce que ça va ? Qu'elle est leur position exacte ? Le  signal  devient faible. 	 None 	 signal 
He could attack them anytime they're alone, even in their cars, but he chooses to attack them in their homes. 	 Il pouvait les attaquer à chaque fois qu'elles 	 Could be where she made contact with the unsub. Garcia, get us a list of jobs that Amber worked the last few months, and look for personal checks she might have deposited as under-the-table payments. Copy that. The unsub stalks his victims. He knows their routine. 	 peut-être est-ce là qu'elle a rencontré le prédateur. Garcia, Obtiens-nous la liste des emplois d'Amber ces derniers mois, et vérifie les chèques personnels, qu'elle pourrait avoir déposé pour du travail au black. Copie ça. le prédateur suit ses  victimes . Il connait leur routine. 	 None 	 victimes 
Yeah, look, they form a Y leading to the main pipe out of the building. 	 Elles 	 Call Blake. We're gonna need blueprints of their yoga studio. It's all about connections. Bingo. The pipes from the yoga studio and the vegan restaurant are connected. 	 Appelez Blake. On a besoin des plans du centre de yoga. C'est une question de raccordement. Et voilà. La  tuyauterie  du centre et celle du restaurant sont raccordées. 	 None 	 tuyauterie 
If it doesn't change color and stays white, that will automatically mean you are competent and reliable to stay with us. 	 S'il 	 I have homework and after that... I must attend a very important tennis tournament. See you tomorrow at school. We're going to make a test. We're going to use this object. 	 J'ai des devoirs et après ça... Je dois préparer un tournoi de tennis très important. On se voit demain en cours. On va faire un test. Avec cet  objet . 	 None 	 objet 
But they own and control their own bodies. 	 - Mais elles 	 - Parents don't agree'? - Most not. But it's illegal to force a minor to have an abortion. They're legally responsible. Five girls pregnant at high school... something has to be done. 	 Les parents ne sont pas d'accord ? La plupart, non. Mais il est interdit de forcer une mineure à avorter. Elles sont responsables juridiquement. - Cinq  filles  enceintes au lycée, il faut faire quelque chose. 	 None 	 filles 
They think they know best, and-- she's not my mother. 	 - Elles 	 He's not. I called. You want to bet your moms took him with her on her boat? Regi didn't take him, Holder. You know, moms be doing crazy-ass things, you know? 	 Allons voir. Non, j'ai appelé. Il est sûrement avec ta mère sur le bateau. Regi ne l'a pas emmené. Les  mères  font des trucs dingues. 	 None 	 mères 
And they don't start moving my stuff around. 	 Elles 	 Oh, that's not funny. I'm not kidding, Amy. I don't want her here. You know, some of us need people, more than flowers to communicate with. My flowers don't judge me. 	 Ça ne m'amuse pas. Je ne plaisante pas. Je veux qu'elle parte. Certaines personnes ont besoin d'une vie sociale, les fleurs ne suffisent pas. Mes  fleurs  ne me jugent pas. 	 None 	 fleurs 
- And it wasn't marnie's, according to her mother. 	 - Elle 	 Welcome to the perv parade that leads to nowhere. Any progress on the doll? - Yeah, the name is perfect penny. Manufacturer stopped making it in 1989. It hasn't been on store shelves in over 20 years. 	 - Ils ont tous un alibi. Encore un défilé de pervers qui mène nulle part. Du nouveau sur la  poupée  ? Elle s'appelle "Mlle Parfaite". Sa fabrication a cessé en 1989. - On ne la trouve plus depuis 20 ans. 	 None 	 poupée 
You know, I think it might have floated into those trees over there. 	 Elle 	 But for everyone else this is the truth. As time passes, they begin to understand the value of modesty, of group strength, of groups making collective decisions, of keeping your mouth shut and checking up the ranks. - You understand though? Good. I don't know where my ball has landed. 	 Mais pour tous les autres, c'est la vérité. Le temps passe, et ils comprennent la valeur de la modestie, la force d'une communauté, de prendre des décisions collectives, de se taire et de garder les rangs. Tu comprends ? Bien. Je sais pas où a atterri ma  balle . 	 None 	 balle 
Then why do they wear tight shirts? 	 Alors pourquoi elles 	 Um-- - Do I have to find another lab partner? Nah, I managed to smooth things over with Hannah, convinced her it was an aspie thing. Look, mammaries are just another body part, and I don't have any, so--- So of course I'm curious! Yeah, okay, but you can't stare! I mean, girls think it's weird. 	 Um, est ce que je dois trouver un autre binome ? Non, j'ai réussi à calmer les choses avec Hannah, la convaincre n'a pas été choses facile. Ecoute, les seins sont juste une autre partie du corps, et je n'ai pas, donc, donc bien sur je suis curieux ! Yeah, okay, mais tu peut pas insister ! Je veux dire, les  filles  pensent que c'est bizar. 	 None 	 filles 
Mostly it checks out, except for certain inconsistencies. 	 La plupart il 	 Whew! Could you tell me I'm not going to jail. I mean, it-it was self-defence! Drew, let the lawyer talk. I've read your statement. 	 Whew! Peux tu me dire que je ne vais pas aller en prison. Je veux dire, c'était de la légitime défense ! Drew, laisse l'avocat parler. J'ai lu votre  dossier 	 None 	 dossier 
And we're gonna find out if it matches the one that killed Leung. 	 Et on verra si elle 	 I might have brought a baseball bat, he might have fell on it a couple times, but that is all you're gonna put on me. So Leung finds out about the drugs and threatens to go to the police? No. He just didn't want his kid involved. All right. We're gonna run this gun. 	 J'avais peut-être une batte de base-ball sur laquelle il s'est cogné deux ou trois fois, mais c'est absolument tout. Leung a découvert le trafic et a menacé d'aller à la police ? Non. Il ne voulait pas que son fils soit impliqué. Bon, on va analyser cette  arme . 	 None 	 arme 
Mushroomed and small caliber, I bet it went into the fish 	 Petit calibre, je parie qu'elle 	 We got another fish. Look at this fish. This is a special fish, huh? - It's a bullet hole. - Yeah. See, either they got an interesting new way to catch fish, or we just found our ballistics evidence. 	 On a un autre poisson. Regardez celui-ci. C'est un poisson spécial, non ? - C'est le trou d'une  balle . - Oui. Soit c'est une nouvelle méthode pour attraper les poissons, soit on a trouvé une preuve balistique. 	 None 	 balle 
I mean, they didn't know each other. 	 Je veux dire, elles 	 Call my mom, okay? I want to go home now. Same symptoms as the pilot? Not as far regressed yet. Two victims unrelated. 	 Appelez ma mère d'accord? Je veux rentrer chez moi maintenant. Les mêmes symptômes que le pilote? Pas encore aussi régressé. Deux  victimes  sans aucune connection. 	 None 	 victimes 
They dropped out because they know Geoffery's a killer. 	 Elles se sont retirées parce qu'elles 	 Hello to you too. So we're doing a little show here, and since you're currently not making any sense, I'm just gonna ignore you. My partner Pete is regressing like the others. Now, what are you using to make this happen? Look, those people aren't sick. 	 Bonjour à vous aussi. Alors nous faisons une petite émission ici, et vu que vos paroles n'ont aucun sens, je vais juste vous ignorer. Mon partenaire, Pete, régresse comme les autres. Qu'est-ce que vous utilisez pour faire ça? Ecoutez, ces  personnes  ne sont pas malade. 	 None 	 personnes 
They look better on. Yeah, well, they hurt my feet. 	 - Elles 	 Have a conversation. You're not a formal person, so a formal statement could come off as insincere. So you're saying I should just... be myself? Exactly. Nice shoes, by the way. 	 Engage le dialogue. T'es pas du genre solennel, un discours sonnerait faux. En conclusion, - je dois être moi ? - Exactement. Jolies  chaussures . 	 None 	 chaussures 
Did it come from the same gun that shot Brother Sam? 	 Vient-elle 	 The night Brother Sam carried Nick from his apartment... Nick fired a shot at him. From the couch, I'm guessing, since he was stoned. So the bullet should be here. 9 millimeter. 	 la nuit où Frère Sam a pris Nick de son appartement Nick lui a tiré dessus Depuis le sofa, je suppose, puisqu'il était défoncé. Donc la  balle  devrait être Là 9 millimètres. 	 None 	 balle 
How did it end up in your father's toolbox? 	 Que faisait-elle 	 You got another envelope? Yeah. I found this medal inside. It's called the Order of the Rising Sun. It was awarded to a Japanese pilot who bombed Pearl Harbor. 	 Tu as eu une autre enveloppe ? Oui. Avec cette  médaille , dedans. Ça s'appelle l'Ordre du Soleil Levant. Remise à un pilote japonais qui a bombardé Pearl Harbor. 	 None 	 médaille 
It'll be a great loss to your city. If it were to be held elsewhere. 	 Ça serait une grosse perte si elle 	 It's a detective's badge. But right now, this badge outranks your star. Don't make this personal, son. It's not personal. Need I rind you... Fleet week is a very lucrative endeavor. 	 C'est un badge d'inspecteur. À cet instant, ce badge supplante ton étoile. Ce n'est pas personnel. C'est pas personnel. Dois-je te rappeler... que la  semaine  de la Marine est très lucrative. 	 None 	 semaine 
I only asked because it seems as though they're only just a few years older than you are, sir. Oh, ba-ba-ba-- Timmy, Timmy. 	 J'ai seulement demandà parce qu'il semble qu'elles 	 Well, put on your arm floaties and swim for it. I guess I'll just hunker down in my cabin and try to ignore the sounds of breasts dragging down the corridor. Sir, how old are these women? I don't know-- 40? 90? Let's be honest. After 28, it's all the same. 	 Eh bien, mettez vos brassières et nagez je pense que je vais me cacher dans ma cabine et essayer d'ignorer le bruit des poitrines trainant dans le corridor Monsieur, quel age ont ces  femmes  Je ne sais pas 40 ? 90 ? soyons honnete apres 28 ans, c'est tout pareil 	 None 	 femmes 
We'll have to wait till it comes out. 	 Nous devrons attendre qu'elle 	 I'll get it. Unlock the door, Louise! We know you have the key. Nope. I ate it. 	 Je vais le faire. - Ouvre, Louise. - Nous savons que tu as la  clé . Non. Je l'ai avalée. 	 None 	 clé 
the way they see it. 	 comme elles 	 It would be bad to use this material to make money. But I think I should be allowed to use it if I don't make money. The cultural industry must start understanding people like Pep, its future clients. It has to accept that Pep will never buy music on CDs, or films on DVD. Royalties Societies have designed educational campaigns for young people dealing with Intellectual Property... 	 Ce ne serait pas bien d'utiliser ce contenu pour gagner de l'argent. Mais je pense que je devrais avoir le droit de l'utiliser si je ne gagne pas d'argent avec. L'industrie culturelle doit commencer à comprendre les gens comme Pep, ses futurs clients. Elle doit accepter que Pep n'achètera jamais de la musique sur CD ou des films sur DVD. Les sociétés de perception ont conçu des campagnes d'éducation pour les  jeunes  présentant la Propriété Intellectuelle... 	 None 	 jeunes 
we have to send them bankrupt so they can't afford to keep lobbying! 	 nous devons faire en sorte qu'elles 	 But I think we are transitioning to a new model of business and a new model of relations between authors and consumers of information. Internet is creating problems like paedophilia, among other things... New technology is not necessarily good. At some point, we'll have to regulate it. These corporations that systematically infringe citizens' rights: 	 Mais je pense que nous somme en pleine transition vers un nouveau modèle économique et un nouveau modèle de relations entre les auteurs et les consommateurs d'information. Internet créé des problèmes comme la pédophilie, entre autres... Les nouvelles technologies ne sont pas nécessairement bonnes. À un moment donné, nous allons devoir les réguler. Ces  entreprises  qui enfreignent systématiquement les droits fondamentaux des citoyens : 	 None 	 entreprises 
Yeah, but it did exist, and it was held in a very safe place, you know, so he could get more money from you... 	 Oui, mais il 	 Come on. You were taking advantage of Laurie's addiction. She needed oxy, which she got from you in exchange for sex. And she helped Toussaint set you up in exchange for more Oxy. You're wrong, detective, and I certainly never gave Toussaint money for a DVD I didn't even know existed. 	 Allez. Vous tiriez avantage de l'addiction de Laurie. Elle avait besoin d'oxy, qu'elle obtenait en échange de relation sexuelle. Et elle aidait Toussaint à vous escroquer en échange de plus d'oxy. Vous avez tort, inspecteur, et je n'ai certainement jamais donné à Toussaint d'argent pour un  DVD  dont je ne connaissais même pas l'existence. 	 None 	 DVD 
Do you know it has expired? 	 Savez-vous qu'elle 	 - You. Why me? I cannot say it like this. It's the question of your respect. How do you drive the car? 	 - Vous. Pourquoi moi? Je ne peux pas le dire comme ça. Il est question de votre honneur. Pourquoi avez-vous conduit la  voiture ? 	 None 	 voiture 
I hope it doesn't display too much weight otherwise how will I eat the popcorn. 	 J'espère qu'il 	 I will try my best. But we cannot deny the fact that all evidence, all charges in Rakesh Kadam's case are against him. Sir, you have said so much then say it confidently.. ...my husband was guilty. Kavya, I used to bring your grandma here all the way to Shinoll 30 kilometres on a cycle from our village to see a film. 	 Je ferai de mon mieux. Mais nous ne pouvons pas nier le fait que toutes les preuves, toutes les charges dans cette affaire sont contre Rakesh Kadam. Monsieur vous avez dit tant de choses. ...Alors dites-le clairement. Mon mari était coupable. Kavya, j'avais l'habitude d'emmener ta grand-mère ici. 30 Km à  bicylclette  pour venir à Shinoli depuis notre village pour voir un film. - Wow! 	 None 	 bicylclette 
All they've been talking about all week is what they're wearing, who's taking who... 	 Elles n'ont pas arrêté de parler de ce qu'elles 	 So, um, we're good? Yeah, of course. So are you guys going to this thing tonight or sitting it out on historical grounds? No, I think me and the other inbreds will make an appearance. All the girls in my cabin are very excited. 	 Donc, euh, tout va entre nous ? Ouais, bien sûr. ALors vous allez à ce truc ce soir ou vous rester sur ces trucs historiques ? Non, je pense que les autres consanguins et moi ferons une apparition. Toutes les  filles  de ma cabines sont très impatientes. 	 None 	 filles 
We don't want it to end. 	 On veut pas qu'elle 	 She doesn't drink for the buzz. I don't drink for the buzz. Once you get the buzz is when you should stop. We drink to get fucking plastered. The party does not end. 	 Elle boit pas pour planer. Je boit pas pour planer. Une fois que tu planes tu devrais arrêter. On boit pour être bourré, putain. La  fête  ne finit pas. 	 None 	 fête 
Now they work for me. 	 Maintenant, elles 	 You're wanted in six states on counts of kidnapping, extortion, and murder. Listen to me. I'm innocent! You have the right to remain silent. Anything you say can and will be used against you in a court of law. (Charlie) Once upon a time, there were three young women who got into very big trouble. 	 Vous êtes recherché pour kidnapping, extorsion et meurtre. - J'ai rien fait ! - Vous pouvez garder le silence. Tout ce que vous direz pourra être retenu contre vous. Il était une fois trois jeunes  femmes  qui avaient de gros ennuis. 	 None 	 femmes 
Let's hope they're less expendable than your last companion. 	 J'espère qu'elles 	 I just thought you were dangerous. You were right. If you're thinking about tracking my location off the camera feed, don't waste your time. You always did plan ahead. And I see that you have some new women in your life. 	 - Tu étais dangereuse. Effectivement. Si tu penses pouvoir me localiser, - ne perds pas ton temps. - T'es toujours en avance. Je vois de nouvelles  femmes  à tes côtés. 	 None 	 femmes 
- So why's's it waiting? 	 Pourquoi il 	 The piano. The puck machine. Is there anything else that you would have fixed there? Help! - I'm here. This thing can kill her right now. 	 Le piano, les palets. Vous avez réparé autre chose ? À l'aide ! Je suis là. - Ce  truc  peut la tuer. - Je sais. 	 None 	 truc 
I bet they're fighting over some bloke. 	 Je parie qu'elles 	 Two females, mid-20s. Do we have to attend a hair-pulling contest? Patients are of Russian descent. Fuck. Not going in there without police protection. 	 Deux femmes, la vingtaine. On doit s'attendre à une bataille intensive de tirage de cheveux ? Les  patientes  sont d'origine Russe. Putain. On ne va pas là-dedans sans protection policière. 	 None 	 patientes 
If they were really alligator, they would've been waterproof. 	 Si c'était des vraies, elles 	 All right, ladies, let's push back into our downward dog. There's a lot of tension in your hips. Easy does it. Last guy I let back there had to buy me a ring. Ooh, this is one for the bachelorette party. You owe me $600 for these alligator shoes. 	 Bien, on va se mettre dans la position du chien. Vous êtes tendue. Le dernier mec qui a eu cet accès a dû m'acheter une bague. Bon pour l'enterrement de vie de jeune fille. Tu me dois 600 dollars pour ces  chaussures  en alligator. 	 None 	 chaussures 
But even if it did, you wouldn't appreciate it. 	 Même s'il 	 You want a bribe? I can't be bought, man. You feel me? See, prison was my walls. But you put your walls up. You, and your phone, and your attitude, and your fruit loops cologne. Your walls put up so tight, not even a blade of grass could get through. 	 On m'achète pas, moi. La prison, c'était mes murs. Toi, tu t'emmures seul. Avec ton téléphone, ton attitude et ton eau de Cologne fruitée. Tu es tellement emmuré qu'un  brin  d'herbe ne pourrait passer. 	 None 	 brin 
Well, they will have plenty of time to get used to it. 	 Elles 	 Wow, Sutton screwing over a friend. Who would ever see that coming? You don't know what you're talking about, Nisha. My palms are actually sweating. I hope Sutton's friends are going to be okay with, you know, us. 	 Sutton qui baise une de ses amies. Qui aurait pu voir ça venir ? Tu ne sais pas de quoi tu parles, Nisha. J'ai les mains moites. J'espère que les  amies  de Sutton n'auront pas de souci avec notre relation. 	 None 	 amies 
She had it coming. 	 Elle 	 You are a natural at this, sweetheart, and you know that. And nobody ever pulled off a prank quite like Lemon Breeland. I-I still don't know how you got that cow into Mrs. Gleason's office, but watching her try to lure that thing down the stairs-- that was amazing. Okay, for the record, Mrs. Gleason was being terribly unfair about allowing me to retake the vocabulary test. 	 C'est inné chez toi, ma chérie, et tu le sais. Et personne n'est plus doué pour les blagues que Lemon Breeland. Je ne sais toujours pas comment tu as fait pour amener chez vache, jusque dans le bureau de Mme Gleason, mais la voir essayer de faire descendre les escaliers à cette chose... c'était magique. Ok, qu'on soit bien clairs,  Mme Gleason  avait été incroyable injuste vis à vis de moi, à propos du test de vocabulaire. 	 None 	 Mme Gleason 
it'll find a signal and lock on. 	 Elle 	 He said he'd keep on following me till I married him! Didn't like to make a scene! Just stay focused. Think of home. This thing, it works psychically... 	 Il a dit qu'il continuerait de me suivre jusqu'à ce que je me marie avec lui ! Je n'aimais pas faire de scènes ! Restez concentrée. Pensez à la maison. Cette  chose , elle marche psychologiquement. 	 None 	 chose 
Of course it's alive, it's a TREE! 	 Bien sûr qu'il 	 Whatever your brother's following... it's growing. Well, then we have to get after him! It's OK, you're fine. Don't worry. Is that tree... alive? 	 Quoi que ton frère suive... ça grandit. Bien, nous devons donc le suivre. C'est rien, tout va bien. Rassures-toi. C'est un  arbre ... vivant ? 	 None 	 arbre 
But is it dangerous? 	 Il 	 Well, then we have to get after him! It's OK, you're fine. Don't worry. Is that tree... alive? Of course it's alive, it's a TREE! 	 Bien, nous devons donc le suivre. C'est rien, tout va bien. Rassures-toi. C'est un  arbre ... vivant ? Bien sûr qu'il est vivant, c'est un ARBRE ! 	 None 	 arbre 
Well, what does it say? 	 Alors qu'est-ce qu'il 	 What did you mean, watch him die? Where's Father? Where is he? Where's Daddy? Why are you holding a telegram? 	 Que voulais-tu dire par le regarder mourir ? Où est père ? Où est-il ? Où est papa ? Pourquoi tiens-tu un  télégramme  ? 	 None 	 télégramme 
It burnt me, and where it burnt me, I grew new skin. 	 Il m'a brûlé, et là où il 	 I couldn't touch. I couldn't cry out. The pain of that first drop of blood on my face was excruciating. But the thought of leaving her was even more excruciating, so I lay there... took the pain. Three days of her blood dripping on me, drying on me, enveloping me. And it was that blood... that saved me. 	 Je ne pouvais ni la toucher ni pleurer. La douleur de cette première goutte de sang fut insoutenable. Mais l'idée de la quitter l'était encore plus, alors je suis resté là et j'ai encaissé. Trois jours avec son sang qui coulait sur moi, qui séchait sur moi, m'enveloppait. Et c'est ce  sang  qui m'a sauvé. 	 None 	 sang 
Ooh, and it's tighter than dick skin, man. 	 Elle 	 Okay, I've hurt my back. I'm shit-faced. Yeah, well, you downed that bottle of schnapps like it was a soda pop. Look, Roxy, I'm trying to give you a second chance here, but you're making it very difficult. Hey, this jacket is awesome. 	 J'ai mal au dos. Je suis bourrée. T'as descendu la bouteille de schnaps comme un Coca. Tu rends les choses difficiles, je veux t'offrir une seconde chance. Cette  veste  est géniale. 	 None 	 veste 
If they were true, then I would've had to fire him, and I didn't want to do that. 	 Si elles 	 Listen, a lot of prominent people come here, all right? Politicians, politicians' wives, and frankly, they expect some discretion. Yeah, we don't really care. Answer his question. Yeah, I-I heard rumors about Markus and some of his clients. 	 Ecoutez, beaucoup de personnes importantes viennent ici, vous comprenez ? Des politiciens, des femmes de politiciens, et franchement, ils s'attendent à un miminum de discrétion. On s'en fiche un peu. Répondez à sa question. J'ai entendu des  rumeurs  au sujet de Markus et certaines de ses clientes. 	 None 	 rumeurs 
Uh, it just has no practical value. 	 Il 	 Tibbs is a man on the verge. He is a man on the threshold of murder, possibly even mass murder. Now who wouldn't want to try and stop that kind of nightmare? Theoretical criminology. I took that class. I think it's fascinating. 	 Tibbs est un homme au bord du précipice C'est un homme sur le point de commettre un meurtre. peut être même plusieurs. Qui ne voudrait pas tenter d'arrêter ce genre de cauchemar ? Criminologie théorique. J'ai choisi ce  cours  Je trouve ça fascinant 	 None 	 cours 
I figured out why it didn't work. 	 J'ai compris pourquoi il 	 Educated guess. He had it circled in his calendar. Well, then why on earth wouldn't you clear the area first? The plan that was approved by, uh... you was to catch Tibbs in the act, I believe. You know that psychopathy test I gave Tibbs? 	 Conjecture Instruite. Il l'avait entouré dans son calendrier. Eh bien, alors pourquoi diable, vous n'avait pas évacué le secteur d'abord ? Le plan qui a été approuvé par, uh ... vous c'était d'attrapper Tibbs en pleine action. Vous savez le  test  psychopatique que j'ai donné à Tibbs ? 	 None 	 test 
Thought it ended at 11:00. 	 J'ai cru qu'il 	 So this is the end? Good luck in San Francisco. What time did you get home last night? Hmm? You know, the movie? 	 Donc c'est ça la fin ? Bonne chance à San Fransisco. A quelle heure es-tu rentré hier soir? Hmm? Tu sais, le  film ? 	 None 	 film 
There's a lot they don't know. 	 - Elles 	 Billy Garrity wants me to text him my picture. Which one should I wear-- "put me to bed" I just answered my own question. Okay. Penny, no. Do your mothers know that you dress like this? 	 Billy Garrity veut une photo. Je mets lequel : "mets-moi au lit" ou "j'ai fait caca" ? - Je viens de répondre à ma question. - Penny, non. - Vos  mères  savent que vous mettez ça ? 	 None 	 mères 
Even when it's not swirling around his incredibly screwed up system, even when it's stuck inside the glass, it's still a raging inferno for him. 	 Même quand il 	 Get this right. Just sit and you watch and listen. Now, this is a glass of vodka to you and I. But to Tommy, this is what it is... A great big shot of fire. 	 Que je m'applique. Reste assise, observe et écoute. Ceci est un verre de  vodka  pour toi et moi. Mais pour Tommy, voici ce que c'est. Un bon grand coup de feu. 	 None 	 vodka 
I put them on this morning for good luck, and now I am convinced they're cursed. 	 Je les ai mises pour me porter chance, mais elles 	 Can I ask you something? What's up with those socks? - Clown college. - Uh-huh. I go at night. Seriously? 	 Un truc m'intrigue... Tes  chaussettes  ? L'école du cirque. En cours du soir. Sérieusement ? 	 None 	 chaussettes 
It's like they're jealous or something. 	 C'est comme si elles 	 Well, after the day I had, I'll finish the bottle myself. This P.T.A. Gig is turning into a serious pain in the ass. Yeah. I show up the teensiest bit late, and the girls are all over me. They're like, "Gaby, why are you late? You should be sad and miserable and on time, just like us." 	 Eh bien, après le jour que j'ai eu, Je vais finir la bouteille moi-même. Cette comédie d'association parents- professeurs devient énervante. - Ouais. - Je montre le moindre retard, et les  filles  sont tous sur moi. Elle seront genre, "Gaby, pourquoi es tu en retard?" "Tu devrais être triste et misérable et à l'heure, comme nous." 	 None 	 filles 
For lack of a better word, they tend to choose more feminine ways to die. 	 Elles 	 He assumed the mantle. And now he suddenly has a house to take these kids to. Wait. Garcia said the mother jumped off of a bridge, right? Yeah. Why? What are you thinking? Suicidology is an imperfect science, but it's uncommon for women to kill themselves so violently. 	 Il a recommencé. Il a une maison pour les accueillir. Garcia a dit que sa mère avait sauté d'un pont ? - Tu penses à quoi ? - L'étude du suicide est floue, mais souvent, les  femmes  se tuent pas si violemment. 	 None 	 femmes 
